order_id,order_date,country,device_type,traffic_source,payment_method,product_category,order_value_eur,shipping_distance_km,high_risk_ip,is_fraud,governance_action
ORD-2024-001936,03/01/2024,Belgium,Mobile,Paid Ads,Credit Card,Sports,33.71,105.7,0,0,PASS
ORD-2025-006495,26/11/2025,Netherlands,Desktop,Email,Debit Card,Garden,73.29,528.2,0,0,PASS
ORD-2023-001721,07/11/2023,Netherlands,Mobile,Organic Search,Debit Card,Garden,55.49,175.1,0,0,PASS
ORD-2024-009121,28/05/2024,Netherlands,Mobile,Organic Search,Klarna,Electronics,112.54,271.4,0,0,PASS
ORD-2025-000361,31/01/2025,Netherlands,Desktop,Direct,Bank Transfer,Home & Kitchen,55.32,285.3,0,0,PASS
ORD-2025-009664,05/04/2025,Netherlands,Mobile,Organic Search,Credit Card,Home & Kitchen,38.26,670.0,0,0,PASS
ORD-2024-005278,18/07/2024,Netherlands,Mobile,Social Media,Debit Card,Pet Supplies,36.36,201.2,0,0,PASS
ORD-2025-008547,14/11/2025,Italy,Mobile,Marketplace,Credit Card,Electronics,141.55,720.0,0,0,PASS
ORD-2024-002222,10/11/2024,Netherlands,Desktop,Direct,Credit Card,Electronics,25.37,374.4,0,0,PASS
ORD-2023-004618,14/12/2023,Netherlands,Mobile,Social Media,Klarna,Garden,19.06,136.3,0,0,PASS
ORD-2024-003466,21/09/2024,Germany,Desktop,Social Media,Credit Card,Electronics,93.8,411.9,1,0,PASS
ORD-2023-001409,05/11/2023,Turkey,Desktop,Email,Credit Card,Garden,48.03,87.8,0,0,PASS
ORD-2024-000469,14/10/2024,France,Mobile,Organic Search,Klarna,Beauty,60.15,595.5,0,0,PASS
ORD-2023-001176,03/03/2023,Belgium,Mobile,Social Media,Debit Card,Sports,8.46,73.8,0,0,PASS
ORD-2025-005225,01/04/2025,Germany,Mobile,Paid Ads,Klarna,Pet Supplies,47.91,258.1,0,0,PASS
ORD-2025-008129,30/06/2025,Belgium,Mobile,Email,Credit Card,Electronics,75.78,299.5,0,0,PASS
ORD-2024-000425,30/03/2024,Spain,Tablet,Marketplace,Debit Card,Sports,19.56,64.6,0,0,PASS
ORD-2023-007048,08/05/2023,Netherlands,Mobile,Organic Search,Debit Card,Electronics,136.02,359.1,0,0,PASS
ORD-2025-002484,14/08/2025,Germany,Desktop,Marketplace,Credit Card,Pet Supplies,33.43,560.3,0,0,PASS
ORD-2023-001826,24/03/2023,Italy,Mobile,Social Media,Credit Card,Garden,31.42,1234.6,0,0,PASS
ORD-2025-010558,21/10/2025,Germany,Tablet,Direct,PayPal,Pet Supplies,46.38,110.8,0,0,PASS
ORD-2025-001484,23/04/2025,Germany,Mobile,Organic Search,Debit Card,Toys,48.11,309.9,0,0,PASS
ORD-2023-009291,19/07/2023,Germany,Mobile,Paid Ads,Credit Card,Sports,22.03,514.0,1,0,MFA_CHALLENGE
ORD-2025-009710,29/01/2025,Belgium,Desktop,Direct,PayPal,Fashion,70.59,304.9,0,0,PASS
ORD-2024-001651,20/12/2024,Netherlands,Mobile,Paid Ads,Bank Transfer,Electronics,45.24,114.3,0,0,PASS
ORD-2024-009787,11/03/2024,Netherlands,Tablet,Social Media,Debit Card,Fashion,32.86,341.9,0,0,PASS
ORD-2023-002814,01/10/2023,Netherlands,Mobile,Marketplace,PayPal,Electronics,47.29,273.8,0,0,PASS
ORD-2024-003705,02/06/2024,Poland,Desktop,Organic Search,Debit Card,Garden,22.53,477.0,0,0,PASS
ORD-2023-006119,06/06/2023,Germany,Mobile,Email,Klarna,Electronics,213.48,514.2,1,0,PASS
ORD-2024-005043,07/07/2024,Belgium,Mobile,Direct,PayPal,Pet Supplies,127.14,349.0,0,0,PASS
ORD-2024-011209,20/11/2024,Turkey,Mobile,Social Media,Bank Transfer,Home & Kitchen,104.94,242.3,0,0,PASS
ORD-2023-007239,22/12/2023,Germany,Mobile,Social Media,Klarna,Electronics,97.47,414.4,0,0,PASS
ORD-2024-011506,04/11/2024,France,Desktop,Paid Ads,PayPal,Sports,49.86,874.1,0,0,PASS
ORD-2024-011075,14/05/2024,Netherlands,Desktop,Social Media,Credit Card,Fashion,62.67,137.5,0,0,PASS
ORD-2025-010997,16/04/2025,Belgium,Mobile,Paid Ads,Debit Card,Beauty,25.1,321.6,0,0,PASS
ORD-2023-005000,23/04/2023,Belgium,Desktop,Marketplace,Credit Card,Home & Kitchen,94.27,1153.0,0,0,PASS
ORD-2025-008481,17/02/2025,Belgium,Desktop,Email,Debit Card,Garden,29.39,255.2,0,0,PASS
ORD-2023-009268,01/03/2023,Netherlands,Desktop,Paid Ads,Gift Card,Sports,19.86,168.6,0,0,PASS
ORD-2025-008399,04/07/2025,Poland,Mobile,Social Media,Debit Card,Home & Kitchen,32.19,153.3,0,0,PASS
ORD-2025-002632,09/11/2025,Spain,Mobile,Marketplace,PayPal,Home & Kitchen,20.79,615.6,0,0,PASS
ORD-2024-003132,02/05/2024,France,Mobile,Marketplace,Credit Card,Toys,23.26,398.7,0,0,PASS
ORD-2023-009584,10/06/2023,France,Mobile,Social Media,Klarna,Home & Kitchen,16.81,445.9,0,0,PASS
ORD-2023-008219,19/06/2023,Netherlands,Mobile,Paid Ads,Debit Card,Fashion,81.99,254.2,0,0,PASS
ORD-2025-009277,28/04/2025,France,Desktop,Paid Ads,Credit Card,Electronics,59.28,601.5,0,0,PASS
ORD-2025-003814,24/04/2025,Turkey,Mobile,Organic Search,PayPal,Toys,19.43,136.8,0,0,PASS
ORD-2023-005887,15/12/2023,Netherlands,Mobile,Direct,Credit Card,Electronics,126.17,694.4,0,0,PASS
ORD-2025-005083,30/10/2025,Netherlands,Mobile,Email,PayPal,Beauty,6.38,410.4,0,0,PASS
ORD-2024-011816,06/11/2024,Spain,Mobile,Social Media,Debit Card,Sports,42.8,493.4,0,0,PASS
ORD-2023-008824,13/03/2023,Poland,Mobile,Email,Klarna,Fashion,34.17,242.2,0,0,PASS
ORD-2025-001218,19/02/2025,France,Desktop,Paid Ads,Credit Card,Fashion,88.25,181.2,1,0,MFA_CHALLENGE
ORD-2025-003992,08/06/2025,Netherlands,Desktop,Organic Search,Credit Card,Garden,19.4,789.8,0,0,PASS
ORD-2025-011148,18/12/2025,France,Mobile,Organic Search,Debit Card,Electronics,145.36,157.9,0,0,PASS
ORD-2024-007616,08/12/2024,Netherlands,Mobile,Email,Credit Card,Fashion,68.33,865.5,0,0,PASS
ORD-2023-010692,03/10/2023,Italy,Mobile,Paid Ads,Credit Card,Fashion,25.42,338.6,0,0,PASS
ORD-2023-010185,26/05/2023,Spain,Mobile,Organic Search,Credit Card,Garden,16.26,296.4,0,0,PASS
ORD-2024-001684,30/11/2024,Turkey,Mobile,Paid Ads,PayPal,Electronics,53.63,1466.9,1,0,MFA_CHALLENGE
ORD-2024-004575,29/08/2024,Netherlands,Desktop,Direct,Debit Card,Beauty,36.65,614.7,0,0,PASS
