order_id,order_date,country,device_type,traffic_source,payment_method,product_category,customer_age_days,previous_orders,avg_order_value_eur,order_value_eur,quantity,discount_rate,shipping_distance_km,delivery_days_estimated,late_delivery_risk,address_mismatch,high_risk_ip,customer_support_contacts,review_score,is_returned,is_fraud,risk_label
ORD-2024-001936,03/01/2024,Belgium,Mobile,Paid Ads,Credit Card,Sports,381,3,28.66,33.71,2,0.12,105.7,5,0,0,0,0,4.4,0,0,Normal
ORD-2025-006495,26/11/2025,Netherlands,Desktop,Email,Debit Card,Garden,561,6,41.93,73.29,3,0.03,528.2,4,0,0,0,0,4.8,0,0,Normal
ORD-2023-001721,07/11/2023,Netherlands,Mobile,Organic Search,Debit Card,Garden,324,2,102.67,55.49,1,0.05,175.1,5,0,0,0,0,3.3,0,0,Normal
ORD-2024-009121,28/05/2024,Netherlands,Mobile,Organic Search,Klarna,Electronics,378,3,72.71,112.54,5,0.22,271.4,3,0,0,0,0,4.2,1,0,Return Risk
ORD-2025-000361,31/01/2025,Netherlands,Desktop,Direct,Bank Transfer,Home & Kitchen,447,5,52.26,55.32,8,0.25,285.3,3,0,1,0,0,5,0,0,Normal
ORD-2025-009664,05/04/2025,Netherlands,Mobile,Organic Search,Credit Card,Home & Kitchen,334,1,22.84,38.26,1,0.35,670,5,0,0,0,0,4.4,0,0,Normal
ORD-2024-005278,18/07/2024,Netherlands,Mobile,Social Media,Debit Card,Pet Supplies,102,1,84.27,36.36,1,0.03,201.2,3,0,0,0,0,3.7,0,0,Normal
ORD-2025-008547,14/11/2025,Italy,Mobile,Marketplace,Credit Card,Electronics,9,0,70.55,141.55,2,0.13,720,5,0,0,0,0,4.5,0,0,Normal
ORD-2024-002222,10/11/2024,Netherlands,Desktop,Direct,Credit Card,Electronics,46,0,21.65,25.37,2,0.17,374.4,4,0,0,0,0,5,0,0,Normal
ORD-2023-004618,14/12/2023,Netherlands,Mobile,Social Media,Klarna,Garden,663,6,15.68,19.06,1,0.17,136.3,4,0,0,0,0,4.2,0,0,Normal
ORD-2024-003466,21/09/2024,Germany,Desktop,Social Media,Credit Card,Electronics,33,0,47.71,93.8,4,0.13,411.9,5,0,0,1,0,4.8,0,0,Normal
ORD-2023-001409,05/11/2023,Turkey,Desktop,Email,Credit Card,Garden,51,0,24.95,48.03,5,0.13,87.8,5,0,0,0,0,4.6,0,0,Normal
ORD-2024-000469,14/10/2024,France,Mobile,Organic Search,Klarna,Beauty,934,4,64.38,60.15,1,0.13,595.5,6,0,0,0,0,4.8,0,0,Normal
ORD-2023-001176,03/03/2023,Belgium,Mobile,Social Media,Debit Card,Sports,829,1,13.12,8.46,1,0.05,73.8,4,0,0,0,0,4.6,0,0,Normal
ORD-2025-005225,01/04/2025,Germany,Mobile,Paid Ads,Klarna,Pet Supplies,330,3,44.51,47.91,7,0.1,258.1,3,0,0,0,0,5,0,0,Normal
ORD-2025-008129,30/06/2025,Belgium,Mobile,Email,Credit Card,Electronics,460,6,53.62,75.78,1,0.02,299.5,3,0,0,0,0,3.4,1,0,Return Risk
ORD-2024-000425,30/03/2024,Spain,Tablet,Marketplace,Debit Card,Sports,276,1,34.32,19.56,3,0.16,64.6,3,0,0,0,0,4.6,0,0,Normal
ORD-2023-007048,08/05/2023,Netherlands,Mobile,Organic Search,Debit Card,Electronics,104,2,54.96,136.02,2,0.37,359.1,4,0,0,0,1,4.2,0,0,Normal
ORD-2025-002484,14/08/2025,Germany,Desktop,Marketplace,Credit Card,Pet Supplies,313,2,28.61,33.43,1,0.03,560.3,6,1,0,0,0,3.4,0,0,Normal
ORD-2023-001826,24/03/2023,Italy,Mobile,Social Media,Credit Card,Garden,252,0,32.54,31.42,3,0.02,1234.6,6,1,0,0,1,3.9,0,0,Normal
ORD-2025-010558,21/10/2025,Germany,Tablet,Direct,PayPal,Pet Supplies,558,3,44.21,46.38,1,0.11,110.8,4,0,0,0,0,4.3,0,0,Normal
ORD-2025-001484,23/04/2025,Germany,Mobile,Organic Search,Debit Card,Toys,186,1,33.54,48.11,6,0.07,309.9,5,0,0,0,0,4.3,0,0,Normal
ORD-2023-009291,19/07/2023,Germany,Mobile,Paid Ads,Credit Card,Sports,305,0,30.93,22.03,1,0.16,514,3,0,0,1,0,4.4,0,0,Normal
ORD-2025-009710,29/01/2025,Belgium,Desktop,Direct,PayPal,Fashion,349,3,63.31,70.59,1,0.31,304.9,4,0,0,0,1,4.4,0,0,Normal
ORD-2024-001651,20/12/2024,Netherlands,Mobile,Paid Ads,Bank Transfer,Electronics,326,2,20.77,45.24,1,0.13,114.3,4,0,0,0,0,3.5,1,0,Return Risk
ORD-2024-009787,11/03/2024,Netherlands,Tablet,Social Media,Debit Card,Fashion,112,2,50.13,32.86,2,0.03,341.9,5,0,0,0,0,4.6,1,0,Return Risk
ORD-2023-002814,01/10/2023,Netherlands,Mobile,Marketplace,PayPal,Electronics,862,7,50,47.29,8,0.2,273.8,3,0,0,0,0,4.8,0,0,Normal
ORD-2024-003705,02/06/2024,Poland,Desktop,Organic Search,Debit Card,Garden,31,0,21.83,22.53,1,0.05,477,4,0,0,0,0,4.5,0,0,Normal
ORD-2023-006119,06/06/2023,Germany,Mobile,Email,Klarna,Electronics,546,4,64.94,213.48,2,0.01,514.2,4,0,0,1,1,4.9,0,0,Normal
ORD-2024-005043,07/07/2024,Belgium,Mobile,Direct,PayPal,Pet Supplies,104,0,133.22,127.14,1,0,349,3,0,0,0,0,4,1,0,Return Risk
ORD-2024-011209,20/11/2024,Turkey,Mobile,Social Media,Bank Transfer,Home & Kitchen,96,0,77.18,104.94,1,0.13,242.3,5,0,0,0,0,4.5,0,0,Normal
ORD-2023-007239,22/12/2023,Germany,Mobile,Social Media,Klarna,Electronics,612,4,25.03,97.47,1,0.02,414.4,5,0,0,0,0,3.8,0,0,Normal
ORD-2024-011506,04/11/2024,France,Desktop,Paid Ads,PayPal,Sports,128,0,39.61,49.86,1,0.12,874.1,5,0,0,0,0,4.2,0,0,Normal
ORD-2024-011075,14/05/2024,Netherlands,Desktop,Social Media,Credit Card,Fashion,380,1,74.26,62.67,2,0.11,137.5,4,0,0,0,0,4.7,0,0,Normal
